"","year","source","target","value"
"1",2017,"HIC_source","HIC_target",2184775305
"2",2017,"HIC_source","LIC_target",9914990
"3",2017,"HIC_source","LMC_target",392944425
"4",2017,"HIC_source","UMC_target",2798596382
"5",2017,"LIC_source","HIC_target",192987
"6",2017,"LIC_source","LIC_target",588535
"7",2017,"LIC_source","LMC_target",1042838
"8",2017,"LIC_source","UMC_target",1121260
"9",2017,"LMC_source","HIC_target",25624660
"10",2017,"LMC_source","LIC_target",1712021
"11",2017,"LMC_source","LMC_target",25555819
"12",2017,"LMC_source","UMC_target",204130099
"13",2017,"UMC_source","HIC_target",124663315
"14",2017,"UMC_source","LIC_target",3334890
"15",2017,"UMC_source","LMC_target",48679605
"16",2017,"UMC_source","UMC_target",287551007
"17",2022,"HIC_source","HIC_target",1217644700
"18",2022,"HIC_source","LIC_target",41672
"19",2022,"HIC_source","LMC_target",170456964
"20",2022,"HIC_source","UMC_target",315954255
"21",2022,"LIC_source","HIC_target",52000
"22",2022,"LIC_source","LMC_target",90000
"23",2022,"LIC_source","UMC_target",3209637
"24",2022,"LMC_source","HIC_target",2091827
"25",2022,"LMC_source","LIC_target",108630
"26",2022,"LMC_source","LMC_target",13509267
"27",2022,"LMC_source","UMC_target",7661142
"28",2022,"UMC_source","HIC_target",137240136
"29",2022,"UMC_source","LIC_target",2850
"30",2022,"UMC_source","LMC_target",5776285
"31",2022,"UMC_source","UMC_target",20476188
