"","year","generation","incinerated","landfilled","mismanaged","recycled","littered"
"1",2000,156.1724,16.98,92.77343,40.18816,5.783667,0.447137
"2",2001,163.8236,18.57081,96.06519,42.18831,6.529903,0.469395
"3",2002,174.047,20.5308,100.7219,44.85264,7.43975,0.501885
"4",2003,183.6499,22.50744,104.9279,47.29958,8.383408,0.531584
"5",2004,194.647,24.74373,109.7974,50.07903,9.45986,0.567008
"6",2005,203.7163,26.82864,113.5265,52.27358,10.4926,0.594932
"7",2006,215.2638,29.32658,118.5028,55.08018,11.72106,0.633215
"8",2007,227.398,32.00715,123.6966,57.96677,13.05389,0.673579
"9",2008,231.1607,33.58948,124.4442,58.52519,13.92389,0.67788
"10",2009,239.8779,35.93447,127.7491,60.34531,15.14614,0.702852
"11",2010,254.7164,39.28041,134.0969,63.71577,16.8693,0.753993
"12",2011,265.9659,42.21717,138.4794,66.03387,18.44533,0.79018
"13",2012,275.8048,45.01795,142.1798,67.81894,19.96505,0.823102
"14",2013,286.6458,48.0971,146.3968,69.68334,21.60647,0.862141
"15",2014,296.1851,51.00089,149.7378,71.34182,23.21008,0.894448
"16",2015,308.3011,54.33851,154.5423,73.31356,25.17185,0.934888
"17",2016,319.5635,57.79281,159.264,74.53483,27.00377,0.9681
"18",2017,331.0198,61.49829,163.7714,75.79244,28.95485,1.002834
"19",2018,342.2391,65.31256,168.3179,76.64424,30.92735,1.037017
"20",2019,353.2911,67.311,173.8644,79.28664,32.82903,NA
"21",2020,359.9827,68.04461,177.0088,80.63696,34.29233,NA
"22",2021,368.715,69.62248,181.2828,81.71621,36.09343,NA
"23",2022,379.3076,71.54809,186.5765,83.09911,38.08389,NA
"24",2023,389.3276,73.38781,191.6185,84.23578,40.08546,NA
"25",2024,398.9204,75.07282,196.472,85.30685,42.06866,NA
"26",2025,408.751,76.73873,201.4797,86.43072,44.10193,NA
"27",2026,419.2926,78.48492,206.8696,87.68286,46.25523,NA
"28",2027,430.5056,80.3183,212.6158,89.03201,48.53951,NA
"29",2028,442.3322,82.23998,218.6662,90.46732,50.95871,NA
"30",2029,454.5755,84.22827,224.9087,91.93871,53.49988,NA
"31",2030,467.1434,86.27319,231.2968,93.41924,56.15416,NA
"32",2031,480.0324,88.37691,237.8214,94.91495,58.91914,NA
"33",2032,493.2895,90.53989,244.522,96.44004,61.78753,NA
"34",2033,506.9732,92.76756,251.4329,98.01738,64.75539,NA
"35",2034,521.1532,95.06681,258.593,99.66504,67.82836,NA
"36",2035,535.7853,97.43616,265.9728,101.3772,70.99905,NA
"37",2036,550.8387,99.87027,273.563,103.1439,74.26152,NA
"38",2037,566.3675,102.3622,281.4211,104.9561,77.62819,NA
"39",2038,582.2675,104.9075,289.3112,106.9608,81.08795,NA
"40",2039,598.5236,107.509,297.3702,109.0044,84.63997,NA
"41",2040,615.1011,110.1632,305.596,111.062,88.27978,NA
"42",2041,631.9908,112.8593,313.9975,113.13,92.00397,NA
"43",2042,649.2277,115.6096,322.5889,115.2093,95.81997,NA
"44",2043,666.842,118.4233,331.4052,117.3161,99.69747,NA
"45",2044,684.8114,121.3019,340.4238,119.4486,103.637,NA
"46",2045,703.0767,124.2421,349.6123,121.5707,107.6515,NA
"47",2046,721.6309,127.2479,358.9671,123.6766,111.7394,NA
"48",2047,740.4085,130.3127,368.4445,125.7498,115.9015,NA
"49",2048,759.4966,133.4505,378.0911,127.8023,120.1527,NA
"50",2049,778.8656,136.6574,387.8899,129.8316,124.4866,NA
"51",2050,798.5842,139.9454,397.8213,131.9011,128.9164,NA
"52",2051,818.5242,143.3249,407.8448,133.9584,133.3961,NA
"53",2052,838.7324,146.8266,418.0248,135.9907,137.8903,NA
"54",2053,859.2657,150.4215,428.3615,138.0108,142.472,NA
"55",2054,880.1158,154.1217,438.9036,140.0233,147.0671,NA
"56",2055,901.3279,157.9261,449.5556,142.0864,151.7597,NA
"57",2056,922.9673,161.8908,460.4651,144.1955,156.4159,NA
"58",2057,945.0465,165.9816,471.6054,146.3027,161.1567,NA
"59",2058,967.5381,170.1935,482.9554,148.3922,165.997,NA
"60",2059,990.496,174.5374,494.5357,150.4716,170.9513,NA
"61",2060,1014.144,179.0904,506.5273,152.5825,175.9435,NA
