"iso3c","collection_rate"
"AGO","23.1"
"ALB","60.0"
"AND","100.0"
"ARG","89.91"
"ASM","100.0"
"ATG","98.61"
"AZE","56.0"
"BFA","9.6"
"BLR","93.2"
"BLZ","85.2"
"BMU","100.0"
"BOL","57.6"
"BRA","91.3"
"BRB","90.0"
"CAN","99.0"
"CHE","99.0"
"CHN","94.0"
"CMR","61.6"
"COL","80.6"
"CPV","70.6"
"CRI","90.4"
"CUB","76.9"
"DMA","94.0"
"FSM","8.0"
"GAB","23.6"
"GEO","60.0"
"GTM","77.7"
"GUM","100.0"
"GUY","89.0"
"HKG","100.0"
"HND","64.6"
"IDN","45.0"
"IRN","100.0"
"IRQ","76.0"
"ISL","100.0"
"JAM","76.0"
"JPN","99.9"
"KAZ","77.0"
"KEN","40.0"
"KIR","54.0"
"KNA","95.0"
"KOR","99.92"
"KWT","100.0"
"LCA","100.0"
"LIE","100.0"
"LSO","20.0"
"MAC","100.0"
"MCO","100.0"
"MDG","17.7"
"MDV","38.2"
"MHL","49.0"
"MKD","73.0"
"MMR","60.0"
"MNE","75.9"
"MUS","98.0"
"NCL","67.0"
"NIC","92.3"
"NOR","99.0"
"NRU","100.0"
"NZL","97.0"
"PAN","84.9"
"PER","82.93"
"PLW","77.0"
"PRY","46.6"
"PSE","91.5"
"PYF","51.0"
"QAT","100.0"
"SAU","100.0"
"SEN","21.4"
"SGP","100.0"
"SLB","12.0"
"SLV","78.8"
"SRB","70.0"
"STP","48.4"
"SUR","79.5"
"SYR","74.0"
"TJK","38.25"
"TON","71.0"
"TTO","94.31"
"TUN","65.0"
"TUV","47.0"
"UKR","75.86"
"URY","98.0"
"USA","100.0"
"VGB","97.2"
"VNM","72.0"
"VUT","12.0"
"WSM","100.0"
"XKX","39.0"
"YEM","20.0"
"ZMB","20.0"
"LIC","39"
"LMC","51"
"UMC","82"
"HIC","96"
